id,gpa,gre,camp_prob,camp
1,3.96,159,0.22357965774338054,0
2,3.68,155,0.3276106497588624,1
3,3.81,158,0.25504732408828845,1
4,2.93,157,0.3630880521373034,0
5,3.57,155,0.33108895843288083,1
6,3.45,156,0.32876971828325297,0
7,3.73,152,0.38058746648963393,1
8,2.94,147,0.5577830745931038,1
9,3.62,163,0.17507552223173073,0
10,3.12,149,0.49748035258904955,1
11,3.44,157,0.3062837858545104,0
12,3.34,147,0.5233502866426124,0
13,3.38,147,0.5093132031418244,1
14,2.97,148,0.5348022667869066,1
15,3.66,155,0.3288792148905095,1
16,3.52,147,0.497609452319901,1
17,3.69,148,0.45920081038659066,0
18,3.8,152,0.371820599324181,0
19,3.08,149,0.5058833194168316,1
20,2.72,140,0.7152553356215696,0
21,2.89,145,0.5984167420942813,1
22,3.15,151,0.4491097973043061,0
23,3.68,146,0.5072728280553229,0
24,2.63,147,0.5792324582235777,0
25,3.79,150,0.4193901143943104,1
26,3.15,159,0.2922080581521271,0
27,3.36,153,0.4015811049139231,0
28,2.87,143,0.6454381622113916,1
29,3.52,156,0.3162872650600692,0
30,2.96,142,0.6557320361946517,1
31,3.31,150,0.46805226674867617,0
32,3.81,149,0.4345072647571064,1
33,3.09,148,0.5214131067120992,1
34,3.16,143,0.5973376291646584,0
35,3.17,156,0.3549427391095036,0
36,3.55,147,0.4989924672070008,0
37,3.29,143,0.5993335280279557,1
38,3.59,152,0.39241507070910087,0
39,3.61,164,0.15343223021650942,1
40,3.9,163,0.15119763528353178,0
41,3.21,157,0.3312848308963293,0
42,3.24,151,0.44670884430652047,1
43,2.4,151,0.5347914221698503,0
44,3.95,166,0.07627207506923057,0
45,3.67,144,0.544995784961789,1
46,3.1,140,0.6809240344137427,1
47,1.84,130,1,1
48,2.86,138,0.7378406557269342,1
49,3.97,154,0.3089418863132135,0
50,3.42,153,0.3921731999286305,0
51,2.63,143,0.6628653040982063,1
52,2.97,141,0.6712966221465445,1
53,3.1,142,0.6383246139418481,0
54,3.03,151,0.47046591473491306,0
55,3.85,152,0.37168995982488573,0
56,2.41,141,0.7169065288933731,0
57,3.6,146,0.5080606156339951,1
58,3.34,159,0.2765053900847099,0
59,3.6,152,0.393564150603136,1
60,3.81,161,0.1954016604194291,0
61,3.62,164,0.1512499712303387,0
62,3.89,157,0.2712060110073286,0
63,3.2,151,0.4528903446423842,1
64,3.56,150,0.4380837760471683,1
65,3.48,152,0.39896892174153453,1
66,2.98,159,0.3177820221780891,0
67,3.23,143,0.6031416595781259,1
68,3.27,149,0.48859311615066164,0
69,3.91,163,0.14514078949200215,0
70,2.96,135,0.7929547111422675,0
71,3.91,152,0.36508070529512604,0
72,2.78,148,0.5531470585287391,1
73,3.74,166,0.09855870122256816,0
74,3.8,155,0.3096814033412763,0
75,2.62,146,0.6032762568311959,1
76,2.34,142,0.7063774150514329,1
77,3,140,0.6867692607841078,0
78,2.75,151,0.48701531899304945,1
79,3.51,151,0.42040184291200217,0
80,3.2,151,0.44914834889725525,0
81,4,159,0.21219878118940275,0
82,3.61,157,0.29056480427390197,0
83,3.68,158,0.26374540649838457,0
84,2.66,156,0.4021048191919041,0
85,3.8,163,0.1598487489129912,0
86,3.15,147,0.5332218372319455,1
87,3.51,150,0.434230106596751,1
88,3.58,150,0.4349054780683467,0
89,3.64,157,0.28128215210613156,0
90,3.24,153,0.40756222942525283,0
91,3.49,158,0.29025051697967025,1
92,3.2,145,0.5687093106095159,1
93,2.99,145,0.5890326988699822,0
94,3.44,160,0.24465829800701366,0
95,3.02,152,0.46029633857490665,0
96,2.44,139,0.7623944342023717,1
97,3.97,159,0.21596511636133198,0
98,2.93,139,0.7089521129360766,1
99,3.76,156,0.29695796613646025,1
100,3.49,159,0.2687228990950901,0
101,3.26,147,0.5263130403564954,1
102,3.48,152,0.4047980381107192,1
103,3.31,142,0.6190462746676524,1
104,3.6,155,0.333159341027581,0
105,2.9,144,0.6237021748305833,1
106,3.61,159,0.25295534693427835,0
107,3.47,137,0.6973792984335382,1
108,3.66,162,0.18772153945986098,1
109,3.69,153,0.36133277239595,1
110,3.2,148,0.509661723234289,0
111,3.89,157,0.26607019181128183,0
112,3.74,152,0.38113675505267197,0
113,2.72,135,0.8113487706319562,0
114,3.03,143,0.6268701117625071,0
115,3.36,148,0.49059457720182076,0
116,2.14,148,0.6197316271987883,0
117,3.49,148,0.476834516895994,0
118,3.22,149,0.48676520265212425,0
119,3.72,161,0.20205246201304208,1
120,3.22,151,0.44974509266173046,1
121,3.6,164,0.15128832947622736,0
122,3.78,157,0.2753540828602697,0
123,3.98,154,0.3122535637202524,0
124,3.33,152,0.4225817383341862,1
125,3.6,145,0.5261918884451062,0
126,3,139,0.7097989869125698,1
127,3.08,146,0.5661177835411818,0
128,3.22,147,0.5233075679491102,0
129,3.5,146,0.5270903256805535,1
130,2.6,146,0.6042540660267605,0
131,3.6,141,0.6102274374581708,0
132,3.63,155,0.33395796057771715,0
133,2.56,140,0.7338935920260883,1
134,3.73,152,0.379822721412462,0
135,3.63,157,0.2889906549261323,1
136,3.47,156,0.32391295609930437,0
137,3.96,145,0.4937058396141586,0
138,3.7,158,0.26588887934519495,0
139,3.33,159,0.28315079886554934,0
140,3.52,158,0.28181705027091475,0
141,3.74,154,0.33741805386642515,1
142,3.34,156,0.33768228181970794,1
143,3.45,147,0.5090475353217107,0
144,3.38,147,0.5095575553364073,0
145,3,155,0.39785412476027737,1
146,3.51,155,0.34316273108787,0
147,3.55,152,0.39662396687037443,1
148,3.61,151,0.41296489504620787,1
149,2.85,146,0.5824795534419096,1
150,3.96,153,0.32961020557889453,1
151,2.97,145,0.5936844185144822,1
152,3.1,141,0.656006707674931,1
153,3.94,153,0.3391832351560927,0
154,3.3,155,0.35969342589507625,0
155,3.06,149,0.5069250509211852,0
156,3.19,154,0.39414825373467227,0
157,3.18,157,0.33503940748440925,0
158,3.75,152,0.37735865850495937,1
159,3.04,152,0.4496442369720986,0
160,2.96,144,0.6137017027321939,0
161,3.88,156,0.28337321701271445,1
162,3.65,155,0.32342607929071754,1
163,3.67,147,0.48006356687666696,1
164,2.91,151,0.47404175654922404,1
165,3.92,156,0.2869181015245519,0
166,3.94,153,0.3405108053019292,0
167,2.27,135,0.858586957914854,1
168,2.85,135,0.7859282669355003,1
169,3.74,164,0.1343047218702544,0
170,3.6,153,0.37420196431838215,0
171,3.49,155,0.34432333685905686,0
172,3.51,165,0.14058639624714211,1
173,3.94,160,0.1999708145979472,1
174,4,149,0.4164020849563931,1
175,3.05,157,0.34762477775989514,0
176,3.53,155,0.33360941713832876,0
177,3.74,146,0.4932724772694936,0
178,3.5,147,0.49656950649581305,1
179,3.69,155,0.3207539955282871,1
180,3.02,144,0.607161296597925,0
181,2.36,144,0.6770049664839702,0
182,2.93,149,0.5089976652646512,1
183,3.9,150,0.40349242131620094,0
184,3.13,155,0.37731651646492803,1
185,2.5,151,0.5129171384552556,1
186,3.09,144,0.5993637416583774,0
187,3.49,148,0.4814533633916072,1
188,3.3,151,0.4401006156616158,1
189,3.83,164,0.13302486509420522,0
190,3.36,156,0.33691852421571233,0
191,3.35,149,0.4766543679455337,1
192,3.15,149,0.4945595396320659,0
193,3.67,158,0.2644750788444881,1
194,3.53,151,0.4234390401330492,1
195,3.5,160,0.25065777864559896,0
196,3.44,161,0.23659280128903185,0
197,3.66,159,0.250109535012387,0
198,3.58,152,0.40463412447688446,0
199,3.76,150,0.414557453457353,0
200,3,147,0.5557819685965824,0
201,3.69,158,0.26550269361004286,0
202,3.42,143,0.5764819511496488,1
203,3.88,146,0.48180731907305446,1
204,3.52,160,0.24028799505739554,0
205,2.42,139,0.7687131513435373,0
206,3.26,151,0.4467420746921577,1
207,3.28,160,0.26523815542101153,0
208,3.46,142,0.598556926348995,1
209,2.97,149,0.5143783436992709,1
210,3.54,151,0.4192060918574002,0
211,3.59,143,0.5671454802770022,1
212,3.4,161,0.23559857573101442,0
213,3.62,147,0.4806263986563099,0
214,3.27,145,0.5550955268415745,1
215,3.37,146,0.5308608611604781,1
216,3.85,156,0.2938767382775163,1
217,3.47,147,0.5073594369281272,0
218,3.2,142,0.6210953307362123,1
219,3.18,148,0.5081514189333814,0
220,3.41,158,0.2929030528624001,1
221,3.79,161,0.1991450106565604,1
222,3.87,164,0.12203598003916297,1
223,3.23,150,0.46153296803976446,1
224,3.65,157,0.2833863308648215,0
225,3.25,141,0.6408000843873116,1
226,2.9,141,0.670415178937959,0
227,2.66,147,0.5848549889171435,1
228,2.56,142,0.6899782491978025,1
229,3.23,145,0.5746007421613326,0
230,3.77,154,0.33535125159584933,1
231,3.24,148,0.5045431893978483,0
232,3.76,168,0.06242088567597389,0
233,3.44,148,0.48369680689740996,1
234,3.7,159,0.25195857681577605,0
235,3.97,151,0.3771954889479662,1
236,2.71,141,0.6927801034887918,1
237,3.83,150,0.41069257567251105,1
238,3.23,142,0.6222046484266263,1
239,3.91,156,0.2836627876965065,1
240,2.92,153,0.4347986554853195,1
241,2.87,145,0.6052553081034199,1
242,3.33,149,0.48082186674326033,1
243,3.76,151,0.3924636873659634,1
244,3.87,153,0.3467055155825873,1
245,2.68,130,0.915938669774412,1
246,3.47,148,0.4815878760124231,0
247,3.97,165,0.09678536494636034,0
248,3.47,154,0.36565611514248786,1
249,2.99,154,0.414077941112414,1
250,3.53,160,0.23937389317391702,0
251,3.42,158,0.29136730131551436,0
252,3.05,150,0.4925974379851005,0
253,3.21,154,0.38985215016280883,1
254,3.69,148,0.4701302801452346,0
255,2.08,143,0.722947865470276,1
256,3.03,145,0.5896383471485199,1
257,3.27,145,0.5623178777539373,0
258,2.9,145,0.5989482140256196,1
259,2.91,143,0.6322648799009313,0
260,3.11,136,0.7532839588765926,1
261,3.83,155,0.3004706296889357,0
262,3.77,151,0.3879422556528524,0
263,3.92,159,0.2281137748555587,0
264,3.94,153,0.3357225177689479,0
265,3,141,0.6666409158552971,0
266,3.89,155,0.31142851772756697,0
267,2.92,142,0.6583113319693361,0
268,3.82,158,0.25108105995799923,0
269,3.54,148,0.4789988396310463,0
270,3.86,163,0.15211602968720453,0
271,3.8,156,0.2906452418309764,0
272,3.95,154,0.31757554977120217,0
273,3.24,138,0.711367414592249,0
274,3.94,145,0.48748882680785216,0
275,3.23,149,0.48451343190644686,0
276,3.65,157,0.29098422612004116,1
277,3.31,153,0.4072344036962538,1
278,3.08,156,0.36091902298209205,1
279,3.81,160,0.21689598941604804,0
280,3.88,163,0.14982215286579517,0
281,3.78,157,0.2804752915226823,0
282,3.85,150,0.4134196660107396,0
283,3.06,144,0.6005357014192501,0
284,3.94,156,0.2799309118775351,1
285,3.44,152,0.405416433877466,1
286,3.18,141,0.6472586989397022,1
287,3.5,158,0.28435361659482167,0
288,3.09,140,0.6797059910815579,0
289,3.1,151,0.45393956032044297,0
290,3.59,147,0.4926187750044473,0
291,3.5,154,0.36721676168349493,0
292,3.12,154,0.398222974519085,0
293,3.49,152,0.4027808458810936,1
294,3.98,151,0.37249872638648707,1
295,3.99,151,0.3713063491074729,1
296,3.95,157,0.26253418591771005,0
297,3.41,152,0.4156869918577378,0
298,3.81,152,0.3679681128999797,1
299,3.32,150,0.45406983518517124,1
300,2.84,139,0.7166733165107502,0
301,2.53,147,0.5967424298041722,0
302,3.82,165,0.11370260305402012,0
303,3.59,156,0.31122472128786133,0
304,3.18,153,0.41486017328327685,0
305,2.79,146,0.5878972437734837,1
306,3.22,150,0.47403820393772733,0
307,3.48,150,0.4411066874071702,0
308,3.72,154,0.3392603785419834,0
309,3.61,147,0.4877440102172974,1
310,3.42,151,0.43002801736286317,0
311,3.71,153,0.36034120725991425,1
312,3.53,155,0.33511514032566775,0
313,3.23,151,0.44965335516309984,0
314,3.48,155,0.35583507933027037,0
315,3.84,162,0.17286453361907797,0
316,3.52,151,0.4209208565541677,1
317,3.49,158,0.28534258688291386,1
318,3.72,157,0.2797074922955808,0
319,3.38,154,0.37456636875166804,0
320,3.61,148,0.4733189742470122,0
321,3.33,148,0.48737871796945315,1
322,3.08,157,0.3449785053280131,0
323,2.89,145,0.5987700998191441,0
324,3.55,147,0.4956594860714722,1
325,3.64,159,0.2544066971473002,0
326,3.29,148,0.49864946898327983,1
327,3.43,151,0.430640609056461,1
328,3.99,150,0.39125204757556353,0
329,2.98,152,0.44970726975769837,0
330,3.65,152,0.39177045072005695,0
331,3.48,165,0.1475483931067007,0
332,3.22,145,0.5735160363747906,1
333,3.17,156,0.3518114807102554,0
334,2.79,134,0.8226875474679847,1
335,3.95,163,0.1475590479003963,0
336,3.8,152,0.3736672967724352,0
337,3.19,151,0.4494250249976443,1
338,2.87,147,0.5637480063635655,1
339,3.78,158,0.254249449514535,1
340,3.92,150,0.3990353788912468,1
341,2.31,143,0.6947113739955957,1
342,2.94,142,0.653637502041408,1
343,3.66,150,0.4243921189008866,0
344,3,142,0.6468683038423412,1
345,2.71,153,0.46143881736508713,1
346,3.66,162,0.19015731702743785,0
347,3.19,158,0.31621815903468636,0
348,3.3,160,0.2723193426823096,0
349,2.84,153,0.44453110281823327,1
350,3.02,140,0.68749138241655,0
351,2.87,151,0.4851025143770578,0
352,2.81,140,0.7095439946604711,1
353,3.68,149,0.449686205495772,1
354,3.67,158,0.26714635465286246,0
355,3.21,143,0.6067763214913762,1
356,2.53,131,0.9105359146559364,1
357,2.52,141,0.7112439247689448,0
358,2.94,152,0.46032106002027245,0
359,3.31,152,0.42463361879376443,1
360,2.49,141,0.7187063697649609,1
361,3.74,152,0.37984790965158705,1
362,3.78,158,0.2554130286031683,0
363,3.32,157,0.31601400873943913,1
364,3.83,146,0.4917560297439902,1
365,3.07,144,0.6064240677252877,0
366,3.68,149,0.4485293825505582,0
367,3,155,0.3944783649343302,1
368,3.46,158,0.2945317811566875,0
369,3.56,152,0.39538087055536003,0
370,3.25,151,0.4389392203125285,0
371,3.72,166,0.10998489916570389,0
372,2.88,141,0.6811111724558092,1
373,3.41,147,0.5103758953205514,1
374,3.33,147,0.5217729203419897,0
375,3.5,155,0.34824820120415945,1
376,3.69,147,0.48533332213130337,0
377,3.3,141,0.6389386478925618,1
378,3.56,153,0.3755312467452267,0
379,3.41,161,0.2351764239542794,0
380,2.56,150,0.5284931925599818,0
381,3.6,159,0.2588595211200662,0
382,2.78,138,0.7442292085723148,1
383,3.43,146,0.5227117540257454,0
384,3.37,150,0.4510788105681398,1
385,3.29,153,0.4029726922312051,1
386,3.29,149,0.4830375160719134,0
387,3.48,164,0.16880286659858185,0
388,2.82,144,0.6269514035092428,1
389,3.81,149,0.4238099214067634,1
390,3.15,150,0.4726509823251715,0
391,3.1,142,0.634143701910905,1
392,3.49,153,0.38942734651263,0
393,2.91,144,0.6242549283575449,1
394,3.31,155,0.3568827435388727,1
395,3.85,157,0.26736231273577543,0
396,3.44,163,0.19347151310116695,1
397,2.84,156,0.3919407505783866,0
398,3.77,149,0.4293732335294771,1
399,3.42,154,0.36985692019266847,0
400,3.93,165,0.10620596369895852,0
401,4,168,0.039304172337212104,0
402,3.8,158,0.2573869794496087,0
403,3.27,152,0.42595025341894377,0
404,2.55,148,0.5704174949541868,1
405,3.77,154,0.3351315321497292,0
406,2.73,150,0.5150787537895257,1
407,2.64,140,0.7228887998406552,0
408,3.53,152,0.4002513310292766,0
409,3.32,150,0.4530827454352039,0
410,3.93,162,0.16135357390588137,0
411,3.75,162,0.18375191230559926,1
412,3.79,165,0.12106268678052398,0
413,3.06,144,0.6056555872167895,1
414,2.93,155,0.4051267878499561,0
415,3.43,155,0.35069188844926424,1
416,3.73,159,0.24103670114727188,0
417,3.23,143,0.6020987737107263,1
418,3.51,160,0.24361294458741192,1
419,3.42,161,0.23887725366776744,1
420,3.56,158,0.28444203418697045,0
421,3.02,143,0.6301627950289246,0
422,3.45,144,0.5622388724072586,1
423,3.36,151,0.44194714000223967,0
424,2.47,135,0.8351134613645239,1
425,3.28,156,0.34922839212908763,0
426,3.8,153,0.35910341663403283,1
427,3.58,144,0.5561575003837671,1
428,3.29,155,0.35737922753820706,0
429,2.94,150,0.49497367578007206,0
430,3.41,151,0.43474438375414354,0
431,2.79,144,0.6291066142007913,0
432,2.71,143,0.6544343633457869,0
433,2.43,149,0.5641598444266673,1
434,3.22,150,0.4649041700879076,0
435,3.77,143,0.5527632209491062,0
436,3.36,146,0.5348334946865462,1
437,3.47,142,0.6021764104522233,0
438,2.52,133,0.8771382631159226,1
439,3.62,159,0.25264062072835636,1
440,3.75,144,0.5336033815946027,0
441,3.91,153,0.3450130543354961,0
442,2.89,150,0.502208451806025,0
443,3.81,159,0.2336212853004134,1
444,3.15,152,0.43672202695997336,1
445,3.68,144,0.5434501542266177,1
446,3.81,146,0.4864014671328451,0
447,2.44,146,0.6214710967877016,0
448,3.3,148,0.4995269461610423,1
449,3.54,154,0.35554983595436773,0
450,3.42,157,0.3074147024616092,0
451,3.97,166,0.08274057412349384,0
